text,label
"IRS Notice: Final warning. You owe 12,400 in back taxes. Pay immediately to avoid a sheriff dispatch and court warrant. Details: http://bofafraud-block.com",Scam
"Hi Mom, my phone broke. This is my new number. I have an emergency and urgently need 450 dollars to pay my landlord today. Can you transfer it via Zelle to this account?",Scam
URGENT: Your Citi account ending in 9876 has been temporarily locked due to suspicious logins from New York. Click here to verify and restore access immediately: http://amazon-prime-login-auth.net,Scam
"Congratulations! Your mobile number was selected as the grand prize winner of 2,500 dollars cash in our annual PayPal promotion. Claim prize here: http://paypal-resolution-center.com/login",Scam
Congratulations! Your mobile number was selected as the grand prize winner of 849.99 dollars cash in our annual Wells Fargo promotion. Claim prize here: http://bofafraud-block.com,Scam
DHL Delivery Alert: Your parcel is on hold due to unpaid customs fees of 99 dollars. Pay here to release package: http://amazon-prime-login-auth.net,Scam
URGENT: Your Chase account ending in 1122 has been temporarily locked due to suspicious logins from New York. Click here to verify and restore access immediately: http://bofafraud-block.com,Scam
"Congratulations! Your mobile number was selected as the grand prize winner of 2,500 dollars cash in our annual PayPal promotion. Claim prize here: http://chase-security-alert.net",Scam
URGENT: Your PayPal account ending in 9876 has been temporarily locked due to suspicious logins from Kiev. Click here to verify and restore access immediately: http://bofafraud-block.com,Scam
"Crypto Warning: A withdrawal request of 0.15 BTC has been initiated on your wallet. If this was not you, cancel it immediately at: http://wellsfargo-verify-portal.org",Scam
DHL Delivery Alert: Your parcel is on hold due to unpaid customs fees of 99 dollars. Pay here to release package: http://paypal-resolution-center.com/login,Scam
"Make 1,200 dollars a week working part-time from home! No experience required. Start working today, just pay 99 dollars sign-up fee at: http://metamask-wallet-reclaim.net",Scam
"Make 2,500 dollars a week working part-time from home! No experience required. Start working today, just pay 49 dollars sign-up fee at: http://bofafraud-block.com",Scam
"Hi Mom, my phone broke. This is my new number. I have an emergency and urgently need 8,500 dollars to pay my landlord today. Can you transfer it via Zelle to this account?",Scam
"Make 5,000 dollars a week working part-time from home! No experience required. Start working today, just pay 1.50 dollars sign-up fee at: http://paypal-resolution-center.com/login",Scam
"IRS Notice: Final warning. You owe 8,500 in back taxes. Pay immediately to avoid a sheriff dispatch and court warrant. Details: http://bofafraud-block.com",Scam
