text,label
"Hello Emily, I'm calling from Apple's HR department. We loved your interview and would like to extend an offer. Can we talk today?",Safe
"Hi Vijay, it's Robert. I'm looking at the client invoice spreadsheet you sent over, and I had a quick question about row thirty. Call me back.",Safe
"Hi, this is Ashley calling from the dentist's office. Just calling to confirm your appointment tomorrow at 7:30 PM. See you then.",Safe
"Hey Vijay, let's reschedule our coffee to next Tuesday if that works for you. I got caught up in a release build.",Safe
"Hi Vijay, it's Lisa. I'm looking at the design spec spreadsheet you sent over, and I had a quick question about row fifty. Call me back.",Safe
"Hi there, this is Robert from Microsoft. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hi there, this is Karen from Apple. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hey buddy, just wanted to check if you have fifteen minutes to chat about the holiday plans. Give me a call when you're free.",Safe
"Hey! We are at the movie theater, we got a table outside, just come on in whenever you get parked.",Safe
"Hey! We are at Starbucks, we got a table outside, just come on in whenever you get parked.",Safe
"Hi, this is David calling from the dentist's office. Just calling to confirm your appointment tomorrow at 8:30 PM. See you then.",Safe
"Hey Brian, just calling to see if we're still on for golf this Saturday morning at 8:30 AM. Let know when you get this.",Safe
"Hey buddy, just wanted to check if you have fifty minutes to chat about the holiday plans. Give me a call when you're free.",Safe
"Hi there, this is Lisa from Netflix. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hey buddy, just wanted to check if you have twenty minutes to chat about the holiday plans. Give me a call when you're free.",Safe
"Hey David, just calling to see if we're still on for tennis this Saturday morning at 11:15 AM. Let know when you get this.",Safe
"Hey! We are at the cafe, we got a table outside, just come on in whenever you get parked.",Safe
"Hello, this is customer service calling from the airline to inform you that your flight schedule has changed by thirty minutes. No action is required.",Safe
"Hey Vijay, let's reschedule our coffee to next Monday if that works for you. I got caught up in a release build.",Safe
"Hi Vijay, it's Karen. I'm looking at the design spec spreadsheet you sent over, and I had a quick question about row five. Call me back.",Safe
"Hey Karen, just calling to see if we're still on for hiking this Saturday morning at 4:15 AM. Let know when you get this.",Safe
"Hey John, just calling to see if we're still on for dinner this Saturday morning at 7:30 AM. Let know when you get this.",Safe
"Hello Thomas, I'm calling from Oracle's HR department. We loved your interview and would like to extend an offer. Can we talk today?",Safe
"Hey Brian, just calling to see if we're still on for hiking this Saturday morning at 2:30 AM. Let know when you get this.",Safe
"Hey buddy, just wanted to check if you have thirty minutes to chat about the holiday plans. Give me a call when you're free.",Safe
"Hello Karen, I'm calling from Amazon's HR department. We loved your interview and would like to extend an offer. Can we talk today?",Safe
"Hey Sarah, just calling to see if we're still on for golf this Saturday morning at 7:30 AM. Let know when you get this.",Safe
"Hi there, this is Mike from Amazon. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hey Ashley, just calling to see if we're still on for hiking this Saturday morning at 7:30 AM. Let know when you get this.",Safe
"Hi Vijay, it's Brian. I'm looking at the quarterly sales spreadsheet you sent over, and I had a quick question about row fifteen. Call me back.",Safe
"Hi there, this is Emily from Amazon. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hey John, just calling to see if we're still on for hiking this Saturday morning at 2:30 AM. Let know when you get this.",Safe
"Hi Vijay, it's Jessica. I'm looking at the quarterly sales spreadsheet you sent over, and I had a quick question about row fifty. Call me back.",Safe
"Hey David, just calling to see if we're still on for hiking this Saturday morning at 6:00 AM. Let know when you get this.",Safe
"Hello, this is customer service calling from the airline to inform you that your flight schedule has changed by fifty minutes. No action is required.",Safe
"Hi Vijay, it's Lisa. I'm looking at the client invoice spreadsheet you sent over, and I had a quick question about row fifty. Call me back.",Safe
"Hey Vijay, let's reschedule our coffee to next Friday if that works for you. I got caught up in a release build.",Safe
"Hello Brian, I'm calling from Oracle's HR department. We loved your interview and would like to extend an offer. Can we talk today?",Safe
"Hi Vijay, it's Robert. I'm looking at the quarterly sales spreadsheet you sent over, and I had a quick question about row ten. Call me back.",Safe
"Hey Vijay, let's reschedule our coffee to next Wednesday if that works for you. I got caught up in a release build.",Safe
"Hi mom, I'm calling to let you know that I'll be arriving a little later tonight, around 11:15. Keep some dinner for me please.",Safe
"Hello David, I'm calling from Meta's HR department. We loved your interview and would like to extend an offer. Can we talk today?",Safe
"Hi mom, I'm calling to let you know that I'll be arriving a little later tonight, around 7:30. Keep some dinner for me please.",Safe
"Hello, this is customer service calling from the airline to inform you that your flight schedule has changed by ten minutes. No action is required.",Safe
"Hey Lisa, just calling to see if we're still on for dinner this Saturday morning at 4:15 AM. Let know when you get this.",Safe
"Hey Mike, just calling to see if we're still on for dinner this Saturday morning at 6:00 AM. Let know when you get this.",Safe
"Hi, this is Mike calling from the dentist's office. Just calling to confirm your appointment tomorrow at 2:30 PM. See you then.",Safe
"Hey buddy, just wanted to check if you have twelve minutes to chat about the holiday plans. Give me a call when you're free.",Safe
"Hi there, this is Ashley from Google. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hey Robert, just calling to see if we're still on for the gym this Saturday morning at 11:15 AM. Let know when you get this.",Safe
"Hey Emily, just calling to see if we're still on for golf this Saturday morning at 7:30 AM. Let know when you get this.",Safe
"Hi there, this is Mike from Meta. We have finalized the contracts and I'll send them over for your signature today.",Safe
"Hello, this is customer service calling from the airline to inform you that your flight schedule has changed by fifteen minutes. No action is required.",Safe
"Hi Vijay, it's Lisa. I'm looking at the design spec spreadsheet you sent over, and I had a quick question about row fifteen. Call me back.",Safe
"Hi, this is Lisa calling from the dentist's office. Just calling to confirm your appointment tomorrow at 10:00 PM. See you then.",Safe
"Hello John, I'm calling from Apple's HR department. We loved your interview and would like to extend an offer. Can we talk today?",Safe
"Hey Brian, just calling to see if we're still on for golf this Saturday morning at 7:30 AM. Let know when you get this.",Safe
"Hello, this is customer service calling from the airline to inform you that your flight schedule has changed by twenty minutes. No action is required.",Safe
"Hi, this is Lisa calling from the dentist's office. Just calling to confirm your appointment tomorrow at 6:00 PM. See you then.",Safe
"Hi there, this is John from Netflix. We have finalized the contracts and I'll send them over for your signature today.",Safe
